id,PARTY,PARTYNM,AREA,PERSON,OUTSTANDINGAMT
227,292,"KALPESH KUMAR SURAJMAL AGRWAL, CHALTHAN   (Unclear Cheque :      16360)",CHALTHAN,VIPULBHAI,41220
228,293,"KADRI GENERAL (KASAKI VAD), BHAGAL",BHAGAL,NITINBHAI 1,94700
229,295,"KHODIYAR FARSAN, MUKTIDHAM",PUNA GAM,VIPULBHAI,41250
230,296,"KIRTI TRADERS, VALSAD",VYARA,DHIRENBHAI,0
231,297,"KHUSHBU KIRANA, LASKANA",KAMREJ,VIPULBHAI,80144
232,298,"KANAIYA TRADERS, KIM",KIM,DHIRENBHAI,82570
233,299,"KRISHNA TOBECO (DARBAR HOTEL), KIM",KIM,DHIRENBHAI,10920
234,301,"KHODESHWAR TRADERS (VALARAM), H.MAHALAXMI MALARAM TATITHAIYA",BARDOLI,DHIRENBHAI,1097386
235,302,"KRISHNA SUPER, JOLWA PATIYA   (Unclear Cheque :      40145)",BARDOLI,DHIRENBHAI,121895
236,305,"KANAIYA TRADERS, VALIYA CHOKDI",ANKLESHWAR,JAYKISHAN,1156442
237,306,"KRISHNA PROVISION STORE, MORA BHAGAL",PALANPUR PATIYA,NITINBHAI 1,141979
238,307,"KRISHNA TRADERS, PIPODARA",KIM,DHIRENBHAI,85733
239,308,"KHETESHWAR TRADERS, PARBAT PATIYA",PARBAT PATIYA,NITINBHAI 2,65485
240,309,"KRISHNA TOBECO & GENERAL (NAVAPURA), KIM",KIM,DHIRENBHAI,0
241,310,"KANCHANLAL SAKALCHAND, ANKLESHWAR",ANKLESHWAR,JAYKISHAN,453295
242,311,"KISAN TRADERS, VALIYA CHOKDI",ANKLESHWAR,JAYKISHAN,1017558
243,312,"LAXMI TRADERS, RAM NAGAR",PALANPUR PATIYA,NITINBHAI 1,49450
244,313,"LAXMI TOBECO, SACHIN",SACHIN,VIPULBHAI,353173
245,314,"LALIT NAMKEEN, NANA VARACHHA",NANA VARACHHA,VIPULBHAI,121540
246,316,"LAXMI TRADERS (SHAKTI NAGAR BRC GATE), UDHNA MAIN ROAD",UDHNA MAIN ROAD,NITINBHAI 2,138445
247,317,"LAXMI TRADERS (SAMARTH PARK), H. SIRAVI MITHI KHADI PUNA GAM",PUNA GAM,VIPULBHAI,0
248,318,"LAXMI SUPER (TATITHAIYA), KADODRA   (Unclear Cheque :      79520)",BARDOLI,DHIRENBHAI,0
249,319,"Z LAXMI TRADERS JOLWA PATIYA MOHAN, KADODRA",ROLL (D),EXTRA,43290
250,320,"LAXMI TOBECO & GENERAL, VARELI   (Unclear Cheque :      61140)",VARELI,VIPULBHAI,157447
251,321,"LAXMI BECARI (ZAPA BAZAR), DILHI GATE",DILHI GATE,NITINBHAI 1,0
252,322,"LAXMI KIRANA (SURESH BHAI), BAMROLI",PANDESARA,NITINBHAI 2,187167
253,323,"Z LAXMI TRADING, VADODARA",ROLL (V),EXTRA,1350
254,324,"LAXMI NARAYAN TRADERS, UDHNA YARD",UDHNA YARD NAHER,NITINBHAI 2,143902
255,325,"LAXMI TRADERS, ANKLESHWAR",,EXTRA,4762
256,326,"LAXMI TRADING (DINDOLI), KARDAVA ROAD",NAVAGAM,NITINBHAI 2,437381
257,327,"LAXMI TRADERS, SARDAR MARKET",PARBAT PATIYA,NITINBHAI 2,68410
